,Tweet
51,ISIS verspreidt gruwelijke video van massa-executie in het amfitheater van Palmyra: De Syrisch-Irakese terreur... http://t.co/ghQk9WpT8Z
52,Interpol waarschuwt voor mogelijke ISIS-aanval op zee: Naar verluid zou de Syrisch-Irakese terreurorganisatie ... http://t.co/fVVggnYKMU
53,Syrisch leger en Hezbollah starten offensief http://t.co/zkICU3bOjU #Nieuws #Nederland
54,Syrisch leger en Hezbollah starten offensief http://t.co/BrKSshRhPb #Syria
55,"Ober blijkt uit Kamistle te komen, we hebben interessant gesprekje in het Syrisch over oa FSA in NL, en we krijgen speciale behandeling..."
56,Syrisch-orthodoxe patriarch Mor Ignatius Aphrem II Karim: 'Westen moet wapenleveringen stoppen.' Kerknet | Nieuws http://t.co/dPMbjwLpGd
57,"@Pontifex_de Syrisch-christ. Mädchen werden massenvergewaltigt +genital verstümmelt, schweigen Sie nicht über diese schrecklichen Verbrechen"
58,@Pontifex_de Einem syrisch-christlichen Baby wurde der Kopf abgeschnitten und gegrillt in einem Reisring vor der Tür der Mutter gelegt
59,"Johannes Atug, Syrisch - Orthodoxe Kirche. HIer geht es zum Interview:... http://t.co/yERQjWl4sK"
60,Triest tafereel op Golan: ik zag zojuist Hezbollah een Syrisch dorp bombarderen. #ooggetuige #Syrië
61,"#Ägyptisch, #Jordanisch, #Libanesisch, #Palästinensisch,  u #Syrisch sowie Chaliji Arabisch f Deutschsprechende. Info http://t.co/PXlxMIWupT"
62,Onze lokale bronnen melden dat #IS de Syrisch-katholieke kathedraal van #Mosul #Irak in brand heeft gestoken http://t.co/VLBUsHDeYt
63,"Poetin waarschuwt Erdogan: ""Jij kunt misschien een stap in Syrisch Koerdistan zetten, maar er uit ga je niet raken."" https://t.co/MnJ73l4XS8"
64,"@NadalencaE arabisch wäre super! Sowie Syrisch, französisch, Englisch."
65,"Woordvoerder YPG: ""We zullen een inval van Turkije in Syrisch Koerdistan niet dulden. Zelfs niet 1 meter."" http://t.co/xqnyuxYpCU"
66,Moedig initiatief @DVO1975 opvang Syrisch gezin.Knoopt .@de_NVA opnieuw a. met traditie #solidariteit vluchtelingen uit VU-tijd W.Kuypers?
67,Update aanval IS op stad #Hasakah #Syrie : 1300 christelijke families gevlucht naar Syrisch-Turkse grensstad Qamishli. #WeAreN
68,‘Wij nemen Syrisch gezin op. Wie volgt?’ http://t.co/hUG6adpAP8 via @destandaard
69,‘Wij nemen Syrisch gezin op. Wie volgt?’ http://t.co/svoEuPEf9b
70,[antwerpen] ‘Wij nemen Syrisch gezin op. Wie volgt?’ http://t.co/SYTX9GFaTA
71,Erdogan met aanval op Syrisch Koerdistan? Volgens internationaal recht is dit oorlogsmisdaad. http://t.co/4Wp3V3U1UJ http://t.co/syri8pVPYQ
72,"Turkije gaat muren bouwen tussen Turks en Syrisch Koerdistan. Tegen IS. Maak dat de kat wijs! Kurds must unite!✌
http://t.co/c3i8sbK8O9"
73,@AddyPlieger K kwam er net een keurig Syrisch echtpaar tegen. Wilden een fiets kopen. Gevlucht uit Aleppo omdat ze Christelijk waren.
74,warum berichten sie nicht das noch vor paar tagen die pyd menschen mit syrisch arabischen o.die türkmenen nicht wieder in ihrer dörfer
75,Wer syrisch-irakische Kriegsflüchtlinge verteufelt hätte das 1940 auch bei flüchtenden Juden so gemacht. http://t.co/fGqYgXhFf6
76,Zahlreiche Tote bei neuem Angriff des »Islamischen Staats« auf die syrisch-kurdische Stadt Kobani http://t.co/qOolQXemhu
77,"syrische negers =&gt; #bootvluchtelingen , nee niet syrisch #ecomischevluchtelingen soms?"
78,Türkei fördert IS-Terror: Zahlreiche Tote bei neuem Angriff des »Islamischen Staats« auf die syrisch-kurdische... http://t.co/QtVqGEcbV6
79,Correspondent @BudWichers bericht vanuit het Iraakse vluchtelingenkamp waar veel vluchtelingen uit de Syrisch Koerdische stad Kobani komen.
80,"#Zomer in Syrië, deel je mooiste zomermoment, aldus Syrisch staatspersbureau  http://t.co/47C2kmyRdp #SummerinSyria http://t.co/H1HsItTYZJ"
81,Strijd bij Kobani weer opgelaaid: Er wordt weer zwaar gevochten bij de Syrisch-Turkse grensplaats Kobani. Stri... http://t.co/NjWqxXho2s
82,Strijd bij Kobani weer opgelaaid: Er wordt weer zwaar gevochten bij de Syrisch-Turkse grensplaats Kobani. Stri... http://t.co/9HELxwJmo9
83,Strijd bij Kobani weer opgelaaid: Er wordt weer zwaar gevochten bij de Syrisch-Turkse grensplaats Kobani. Stri... http://t.co/gRqx03I7W1
84,Verpleegkundige Elena speelt wat met een Syrisch jongetje nadat ze hem behandeld heeft in Sicilië. https://t.co/w24sQCpPhz
85,"En Europa is de hoofdprijs voor de 'vluchtelingen' (10 procent Syrisch, vanuit veilig gebied), dus het is wel redelijk spot on."
86,@biobio y que me importa sampaoli y pinolla? Interrumpen un excelente programa de radio por este parcito.
87,Zum ersten Mal syrisch essen. (@ Farah Restaurant in Chemnitz) https://t.co/NSOmjFrW21
88,Vluchtelingenwerk zoekt begeleider(s) Syrisch gezin http://t.co/57om4dprW5
89,ISIS gebruikt kinderen om zelfmoordaanslagen te plegen. Foto: Syrisch leger kon gordel verwijderen. http://t.co/ilrwUcTS2O Via @BBassem7
90,"#EU migratie #PC Yazan,  Syrisch vluchteling in Brussel: ""in Italië vroegen ze ons de kleren uit te trekken onder het voorwendsel van ebola"""
91,"#EU migratie#PC Yazan,  Syrisch vluchteling: ik zal nooit het gezicht van het zeeziek kind vergeten, gescheiden van zijn vader op de boot."
92,"#EU migratie #PC Yasan, Syrisch vluchteling in Brussel:"" We zaten met 57 in een boot van minder dan 8 meter"""
93,#EUmigratie PC gaat nu van start -  met oa migratie expert aurelie ponthieu en Syrisch #vluchteling yazan azmi http://t.co/Ge2xwSxkAz
94,#München 23.6.+24.6. 19Uhr m. syrisch-orthodox. #Oberbürgermeister(in) .@Februniye_Akyol Akay: S.19-&gt; http://t.co/3SdM8i0w69 #Mardin #Türkei
95,Wat zou 'schepschotel' in het Grieks zijn? En in het Syrisch?
96,@Nico_fernandez8 maravilloso chicos. Felicidades y a darle con todo.  🇨🇱🌟
97,So. Unteren Pool gewonnen. Mainz mit 9:5 geschlagen. Jetzt geht's syrisch essen. Morgen dann Crossover des Todes um die Quali. #dhm15
